datetime,open,high,low,close,volume
04-28-2021,15.3645,15.53225,15.2155175,15.27675,209416200
04-29-2021,15.4,15.4365,15.0715,15.32475,173196480
04-30-2021,15.1745,15.3649975,14.997,15.0095,201910080
05-03-2021,15.125,15.24675,14.7875,14.83675,203911840
05-04-2021,14.63725,14.6375,14.0102525,14.35125,405324800
05-05-2021,14.709,14.8135,14.3875,14.4585,292023040
05-06-2021,14.49525,14.57125,14.21809,14.523,193380920
05-07-2021,14.80825,14.97075,14.6717075,14.81225,229327320
05-10-2021,14.78725,14.806,14.25,14.26575,268903800
05-11-2021,13.825,14.35475,13.75,14.30625,285585360
05-12-2021,14.0095,14.26025,13.70925,13.7585,303409320
05-13-2021,14.03375,14.08075,13.459,13.66525,285727480
05-14-2021,13.89,14.328105,13.7485,14.243,258615000
05-17-2021,14.157,14.16925,13.8535,14.1655,216980840
05-18-2021,14.267,14.40425,14.004,14.01575,186254240
05-19-2021,13.5665,14.0795,13.54325,14.06575,343999360
05-20-2021,14.3025,14.683785,14.2705,14.6125,321591920
05-21-2021,15.16375,15.222,14.86939,14.99175,672992000
05-24-2021,15.2125,15.745,15.176,15.612,554816200
05-25-2021,15.766,15.8184975,15.4825,15.64775,435406880
05-26-2021,15.73425,15.79375,15.58625,15.7,370438640
05-27-2021,15.69975,15.75,15.46,15.488,581475200
05-28-2021,15.501,16.277475,15.501,16.2445,644535600
06-01-2021,16.27,16.388125,15.90325,16.2645,472803000
06-02-2021,16.25225,16.9188675,16.2355,16.77825,594167560
06-03-2021,16.70075,17.259,16.583,16.96975,580006800
06-04-2021,17.1125,17.661,17.0955,17.57825,617120280
06-07-2021,17.57114,17.8125,17.19275,17.619,575754920
06-08-2021,17.52725,17.6215875,17.251,17.457,323846760
06-09-2021,17.51575,17.575,17.25575,17.35825,381657480
06-10-2021,17.35,17.492,17.1760025,17.425,287770440
06-11-2021,17.4795,17.939225,17.44375,17.82525,416307640
06-14-2021,17.906,18.0395,17.6627525,18.01875,321374280
06-15-2021,17.915,18.01625,17.72795,17.7885,243030440
06-16-2021,17.79075,17.9546775,17.584425,17.81025,307122600
06-17-2021,17.7745675,18.835,17.7562525,18.65725,809654880
06-18-2021,18.784,19.375,18.584,18.63875,968854280
06-21-2021,18.43525,18.5365,17.82265,18.42725,672382160
06-22-2021,18.4715,18.96375,18.385875,18.88675,580145560
06-23-2021,19.00775,19.15275,18.90775,19.05725,332357040
06-24-2021,19.22775,19.42,19.08825,19.2055,320922400
06-25-2021,19.2805,19.3455,18.894375,19.031,278365920
06-28-2021,19.36125,20.07875,19.319,19.985,495436560
06-29-2021,19.8825,20.09875,19.656875,20.02675,367633840
06-30-2021,19.999125,20.1625,19.86375,20.0025,326566160
07-01-2021,20.125,20.456,20.019,20.212,480134960
07-02-2021,20.440125,20.50525,20.28775,20.487,343396680
07-06-2021,20.7375,20.842,20.35025,20.6985,446707480
07-07-2021,20.8535,20.875,20.33205,20.37175,418427280
07-08-2021,19.8565,20.133,19.70075,19.90275,503299680
07-09-2021,19.9625,20.080125,19.75425,20.05025,296622680
07-12-2021,20.24,20.53275,20.18775,20.5125,321984760
07-13-2021,20.4005,20.46125,20.1140025,20.25,290706320
07-14-2021,20.35775,20.41775,19.75275,19.8415,380099200
07-15-2021,19.81175,19.847,18.8585025,18.96625,550564520
07-16-2021,19.0305,19.15711,18.073,18.161,688222640
07-19-2021,17.91525,19.042,17.8655,18.77975,749058760
07-20-2021,18.73,18.838,18.164,18.612,434686540
07-21-2021,18.882,19.527,18.742,19.41,371017360
07-22-2021,19.642,19.887,19.276,19.594,323825950
07-23-2021,19.65635,19.7,19.25,19.558,195671980
07-26-2021,19.311,19.442,18.914,19.294,203943160
07-27-2021,19.265,19.622,18.741,19.208,248862580
07-28-2021,19.3192,19.646,18.995,19.503,202191150
07-29-2021,19.519,19.853,19.32803,19.662,190780880
07-30-2021,19.418,19.63,19.263,19.499,183497460
08-02-2021,19.7,19.961,19.361,19.75,217443970
08-03-2021,19.74,20.222,19.22,19.815,301810740
08-04-2021,19.99,20.318,19.828,20.274,231309400
08-05-2021,20.5,20.733,20.342,20.637,211435370
08-06-2021,20.524,20.57,20.21,20.366,178496610
08-09-2021,20.446,20.50799,20.143,20.295,146443100
08-10-2021,20.322,20.43,19.83454,19.936,179237780
08-11-2021,20.043,20.049,19.43,19.699,185924840
08-12-2021,19.87,20.02899,19.62,19.905,151861550
08-13-2021,19.905,20.21381,19.851,20.188,183062860
08-16-2021,20.135,20.287,19.453,19.95,211152800
08-17-2021,19.685,19.77,19.267,19.458,204584850
08-18-2021,19.5,19.63365,19.0,19.04,285913480
08-19-2021,19.494,20.495,18.762,19.798,766554770
08-20-2021,19.991,20.86506,19.933,20.816,675741310
08-23-2021,20.971,21.997,20.95,21.958,575806580
08-24-2021,21.753,21.959,21.535,21.793,297298920
08-25-2021,21.737,22.47,21.722,22.213,347701040
08-26-2021,22.2,22.34,21.79,22.068,237940420
08-27-2021,22.184,22.722,22.167,22.636,304722190
08-30-2021,22.82997,23.043,22.551,22.688,262579900
08-31-2021,22.695,22.695,22.12,22.385,259849680
09-01-2021,22.485,22.697,22.3565,22.441,201766950
09-02-2021,22.518,22.59299,22.2945,22.396,188109570
09-03-2021,22.325,22.986,22.2,22.843,280831980
09-07-2021,22.833,22.899,22.5224,22.662,198107160
09-08-2021,22.513,22.61,21.977,22.339,254434210
09-09-2021,22.312,22.538,22.131,22.177,196856010
09-10-2021,22.34831,22.626,22.27,22.478,248375740
09-13-2021,22.684,22.964,21.858,22.152,297499900
09-14-2021,22.275,22.41,22.086,22.242,199754600
09-15-2021,22.309,22.36699,21.966,22.341,166538010
09-16-2021,22.18345,22.277,21.927,22.242,156033440
09-17-2021,22.3,22.321,21.83,21.9,294502840
09-20-2021,21.146,21.433,20.662,21.113,349440450
09-21-2021,21.4165,21.425,20.95,21.246,204688100
09-22-2021,21.3655,21.96,21.196,21.941,268725560
09-23-2021,22.14,22.5345,21.89,22.482,248554910
09-24-2021,22.07,22.149,21.861,22.081,217655450
09-27-2021,21.71035,21.799,21.325,21.66,245215140
09-28-2021,21.2135,21.419,20.651,20.699,343068950
09-29-2021,20.9395,21.017,20.467,20.517,218393630
09-30-2021,20.7684,21.066,20.688,20.716,221009120
10-01-2021,20.75,20.859,20.203,20.742,240977960
10-04-2021,20.504,20.54179,19.555,19.732,345634970
10-05-2021,19.95,20.648,19.854,20.451,279281650
10-06-2021,20.12,20.72,20.08,20.7,297201750
